row_id,zone_id,zone_name,state,city,week_start_date,week_end_date,week_number,year,data_source,zone_flood_risk_base,zone_elevation_m,zone_elevation_category,zone_drainage_quality,zone_drainage_score,zone_area_sqkm,zone_population_density,zone_proximity_water_body_km,zone_road_network_density,historical_flood_count_5yr,historical_avg_disruption_days_yr,historical_rsmd_count_5yr,month,quarter,is_northeast_monsoon,is_southwest_monsoon,is_summer_season,is_winter_season,festival_week,festival_name,cyclone_season_active,rainfall_mm,max_daily_rainfall_mm,avg_daily_rainfall_mm,rainfall_7d_rolling_mm,rainfall_30d_rolling_mm,rainfall_trend_slope,humidity_avg_pct,humidity_max_pct,temp_avg_celsius,temp_max_celsius,temp_min_celsius,wind_speed_avg_kmh,wind_speed_max_kmh,sea_level_pressure_hpa,cloud_cover_pct,AQI_avg,heatwave_declared,flood_alert_level,ndma_alert_level,ndma_emergency_alert_active,cyclone_warning_active,imd_forecast_rain_7d_mm,rsmd_news_score,rsmd_news_source_count,google_maps_congestion_index,stfi_event_confirmed,stfi_event_severity,rsmd_event_confirmed,rsmd_event_type,rsmd_event_severity,disruption_event_active,prev_week_risk_score,prev_2week_risk_score,prev_4week_risk_score,same_week_last_year_risk,same_week_2yr_ago_risk,prev_week_rainfall_mm,prev_month_avg_rainfall_mm,zone_risk_score,is_disruption_week,seasonal_loading_factor,disruption_type_actual
RISK-ADYAR-2014-W2,ADYAR,Adyar,Tamil Nadu,Chennai,2014-01-06,2014-01-12,2,2014,synthetic_historical,0.8,5.8,LOW,POOR,0.22,8.7,14200,0.1,0.52,5,14.2,1,1,1,0,0,0,1,0,NONE,0,36.7513,28.5305,5.2502,69.5384,247.7384,3.2685,82.3412,85.3997,32.2153,35.9342,28.5846,11.9234,18.8841,1008.0506,4.6011,129.1607,0,0,1,0,0,53.8348,0.359,0,0.3017,0,NONE,0,NONE,NONE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3416,0,0.05,NONE
RISK-ADYAR-2014-W3,ADYAR,Adyar,Tamil Nadu,Chennai,2014-01-13,2014-01-19,3,2014,synthetic_historical,0.8,5.8,LOW,POOR,0.22,8.7,14200,0.1,0.66,5,14.2,1,1,1,0,0,0,1,0,NONE,0,5.2822,3.3971,0.7546,16.3751,211.9081,-1.5987,68.2447,73.5816,34.1119,38.9595,31.7615,20.1142,31.3031,1008.6571,14.8718,139.5955,0,0,0,0,0,2.9698,0.1308,1,0.4596,0,NONE,0,NONE,NONE,0,0.3416,0.0,0.0,0.0,0.0,36.7513,0.0,0.2174,0,0.05,NONE
RISK-ADYAR-2014-W4,ADYAR,Adyar,Tamil Nadu,Chennai,2014-01-20,2014-01-26,4,2014,synthetic_historical,0.8,5.8,LOW,POOR,0.22,8.7,14200,0.1,0.9,5,14.2,1,1,1,0,0,0,1,0,NONE,0,11.3508,8.0639,1.6215,33.8654,72.5927,8.7735,68.6466,76.9538,31.5201,35.7975,27.1231,15.526,21.857,1012.6765,11.821,52.6237,0,0,0,0,0,10.9468,0.0103,0,0.364,0,NONE,0,NONE,NONE,0,0.2174,0.3416,0.0,0.0,0.0,5.2822,0.0,0.2847,0,0.05,NONE
RISK-ADYAR-2014-W5,ADYAR,Adyar,Tamil Nadu,Chennai,2014-01-27,2014-02-02,5,2014,synthetic_historical,0.8,5.8,LOW,POOR,0.22,8.7,14200,0.1,0.77,5,14.2,1,1,1,0,0,0,1,1,PONGAL,0,29.9906,22.2151,4.2844,63.2322,198.3765,-0.1662,61.4694,67.839,28.361,34.1353,23.8652,9.1564,23.5074,1009.729,97.2867,76.4274,0,0,0,0,0,20.9639,0.3371,1,0.9348,0,NONE,0,NONE,NONE,0,0.2847,0.2174,0.0,0.0,0.0,11.3508,0.0,0.3017,0,0.05,NONE
RISK-ADYAR-2014-W5,ADYAR,Adyar,Tamil Nadu,Chennai,2014-02-01,2014-02-07,5,2014,synthetic_historical,0.8,5.8,LOW,POOR,0.22,8.7,14200,0.1,0.67,5,14.2,1,2,1,0,0,0,1,0,NONE,0,13.6961,10.6474,1.9566,42.2329,210.3785,-2.7171,63.5411,73.7851,31.7395,36.3913,26.8342,20.2971,27.7641,1012.7154,80.2923,83.1033,0,0,1,0,0,17.3133,0.81,4,0.744,0,NONE,1,RIOT,MILD,1,0.3017,0.2847,0.3416,0.0,0.0,29.9906,2.977675,0.3246,0,0.05,RSMD
RISK-ADYAR-2014-W6,ADYAR,Adyar,Tamil Nadu,Chennai,2014-02-03,2014-02-09,6,2014,synthetic_historical,0.8,5.8,LOW,POOR,0.22,8.7,14200,0.1,0.5,5,14.2,1,2,1,0,0,0,1,0,NONE,0,30.0649,21.3837,4.295,38.4592,127.2568,9.4051,62.3216,63.507,30.545,34.0949,27.8128,15.7786,27.1707,1008.597,4.1188,104.7912,0,0,0,0,0,21.9581,0.3912,0,0.1798,0,NONE,0,NONE,NONE,0,0.3246,0.3017,0.2174,0.0,0.0,13.6961,2.154275,0.277,0,0.05,NONE
RISK-ADYAR-2014-W7,ADYAR,Adyar,Tamil Nadu,Chennai,2014-02-10,2014-02-16,7,2014,synthetic_historical,0.8,5.8,LOW,POOR,0.22,8.7,14200,0.1,0.59,5,14.2,1,2,1,0,0,0,1,0,NONE,0,22.3608,17.8304,3.1944,43.6428,154.2801,0.3266,73.6073,77.1346,27.6731,32.1543,23.2622,6.8202,13.369,1009.1539,15.6292,106.6786,0,0,0,0,0,31.0759,0.0616,0,0.1186,0,NONE,0,NONE,NONE,0,0.277,0.3246,0.2847,0.0,0.0,30.0649,3.039375,0.2627,0,0.05,NONE
RISK-ADYAR-2014-W8,ADYAR,Adyar,Tamil Nadu,Chennai,2014-02-17,2014-02-23,8,2014,synthetic_historical,0.8,5.8,LOW,POOR,0.22,8.7,14200,0.1,0.84,5,14.2,1,2,1,0,0,0,1,0,NONE,0,32.1325,23.2073,4.5904,35.9194,107.9197,2.9643,69.2705,79.9405,32.8122,35.6896,27.9473,20.26,25.8722,1008.1677,31.1182,91.2356,0,0,0,0,0,46.8805,0.1291,1,0.308,0,NONE,0,NONE,NONE,0,0.2627,0.277,0.3017,0.0,0.0,22.3608,3.4326,0.2824,0,0.05,NONE
RISK-ADYAR-2014-W9,ADYAR,Adyar,Tamil Nadu,Chennai,2014-02-24,2014-03-02,9,2014,synthetic_historical,0.8,5.8,LOW,POOR,0.22,8.7,14200,0.1,0.61,5,14.2,1,2,1,0,0,0,1,0,NONE,0,32.7144,22.4774,4.6735,78.7483,215.8156,7.9124,71.2016,78.536,26.1022,28.7853,24.0973,14.0669,28.7943,1011.363,22.9768,119.763,0,0,0,0,0,36.2933,0.1211,1,0.3698,0,NONE,0,NONE,NONE,0,0.2824,0.2627,0.3246,0.0,0.0,32.1325,3.5091,0.2872,0,0.05,NONE
RISK-ADYAR-2014-W10,ADYAR,Adyar,Tamil Nadu,Chennai,2014-03-03,2014-03-09,10,2014,synthetic_historical,0.8,5.8,LOW,POOR,0.22,8.7,14200,0.1,0.75,5,14.2,1,3,1,0,0,1,0,0,NONE,0,16.6351,10.9346,2.3764,37.2249,188.1777,6.221,54.142,58.2602,35.4823,40.1615,32.4455,24.6255,41.0143,1010.9681,29.2191,86.1648,0,0,0,0,0,10.8001,0.007,0,0.4204,0,NONE,0,NONE,NONE,0,0.2872,0.2824,0.277,0.0,0.0,32.7144,4.188325,0.0867,0,0.0,NONE
